injected_period_days,injected_duration_hours,injected_depth,epoch_phase_fraction,injected_epoch_days,observable_transit_count,in_transit_observation_count,raw_bls_recovered_period_days,raw_bls_recovered_score,raw_bls_period_matched,raw_bls_passes_fap_1_percent,raw_bls_recovered,existing_tcf_recovered_period_days,existing_tcf_recovered_score,existing_tcf_period_matched,existing_tcf_passes_fap_1_percent,existing_tcf_recovered,existing_tcf_exact_period_present_top10,existing_tcf_exact_period_rank_top10,depth_retention_fraction,snr_retention_fraction,kalman_bls_recovered_period_days,kalman_bls_recovered_power,kalman_bls_period_matched,kalman_bls_passes_fap_1_percent,kalman_bls_recovered,kalman_tcf_recovered_period_days,kalman_tcf_recovered_score,kalman_tcf_period_matched,kalman_tcf_passes_fap_1_percent,kalman_tcf_recovered,kalman_tcf_exact_period_rank_top10,raw_bls_union_existing_tcf,raw_bls_union_kalman_bls,raw_bls_union_kalman_tcf,existing_tcf_union_kalman_tcf,raw_bls_union_existing_tcf_union_kalman_tcf,all_four_union,kalman_tcf_only_vs_raw_bls,raw_bls_only_vs_kalman_tcf,kalman_tcf_unique_all_methods,kalman_bls_unique_all_methods
2.0,2.0,0.0002,0.15,443.81122690278136,48,179,11.72072072072072,47.53010950717308,False,False,False,2.512151215121512,18.163987818495677,False,True,False,True,2,0.3880308403428735,0.7403495873148428,2.5135135135135136,0.0009851810122147,False,True,False,2.512151215121512,18.32886952402948,False,True,False,2.0,False,False,False,False,False,False,False,False,False,False
2.0,2.0,0.0002,0.45,444.4112269027813,47,183,11.72072072072072,47.98912346987292,False,False,False,2.512151215121512,18.11294278741504,False,True,False,True,2,0.4563550201719268,0.8883664709887309,2.5135135135135136,0.0009970585358502,False,True,False,2.512151215121512,18.585417085666055,False,True,False,4.0,False,False,False,False,False,False,False,False,False,False
2.0,2.0,0.0002,0.75,445.01122690278135,47,190,3.998998998998999,51.14334530176195,True,False,False,2.512151215121512,18.375266853631963,False,True,False,True,2,0.3094626096263125,0.5979474326024583,2.5135135135135136,0.0010011785252234,False,True,False,2.512151215121512,18.760310092543843,False,True,False,2.0,False,False,False,False,False,False,False,False,False,False
2.0,2.0,0.0005,0.15,443.81122690278136,48,179,3.998998998998999,109.21982007091512,True,True,True,1.9996999699969995,39.02269206623864,True,True,True,True,1,0.1789567646199185,0.3335172766946961,1.0,0.0018724907110884,True,True,True,1.9996999699969995,39.43821564587813,True,True,True,1.0,True,True,True,True,True,True,False,False,False,False
2.0,2.0,0.0005,0.45,444.4112269027813,47,183,3.998998998998999,106.86811533356206,True,True,True,1.9996999699969995,36.311418563845585,True,True,True,True,1,0.1846285679287901,0.3470929462892291,1.0,0.001793179838296,True,True,True,1.9996999699969995,36.53551170826901,True,True,True,1.0,True,True,True,True,True,True,False,False,False,False
2.0,2.0,0.0005,0.75,445.01122690278135,47,190,1.0,114.87683601702544,True,True,True,1.9996999699969995,39.26394382004287,True,True,True,True,1,0.1525853775986594,0.2843426141028494,1.0,0.0018679279145655,True,True,True,1.9996999699969995,40.35704199940344,True,True,True,1.0,True,True,True,True,True,True,False,False,False,False
2.0,2.0,0.001,0.15,443.81122690278136,48,179,3.998998998998999,217.86749081027335,True,True,True,1.9996999699969995,70.39590707670293,True,True,True,True,1,0.070039145998627,0.1247460479973443,1.0,0.0032151466675605,True,True,True,1.9996999699969995,69.30737113229394,True,True,True,1.0,True,True,True,True,True,True,False,False,False,False
2.0,2.0,0.001,0.45,444.4112269027813,47,183,3.998998998998999,214.6178587697581,True,True,True,1.9996999699969995,69.21080729997476,True,True,True,True,1,0.0741211977073731,0.1323152220179487,1.0,0.0031106173618646,True,True,True,1.9996999699969995,69.09260478229655,True,True,True,1.0,True,True,True,True,True,True,False,False,False,False
2.0,2.0,0.001,0.75,445.01122690278135,47,190,1.0,223.6815829658078,True,True,True,1.9996999699969995,70.97470318179056,True,True,True,True,1,0.0615780935688431,0.1097360974758904,1.0,0.0032050750796084,True,True,True,1.9996999699969995,71.26176581817744,True,True,True,1.0,True,True,True,True,True,True,False,False,False,False
2.0,4.0,0.0002,0.15,443.81122690278136,48,373,3.998998998998999,64.60080036781211,True,True,True,1.9996999699969995,25.736685752190557,True,True,True,True,1,0.1451922103577792,0.278712579731972,2.5135135135135136,0.0009760822898582,False,True,False,1.9996999699969995,27.047052179756307,True,True,True,1.0,True,True,True,True,True,True,False,False,False,False
